Kind,LocalisedName,PreferredExtension,MimeType,Enabled,ProcessEmbedded,ProcessText,TextStrip,ProcessNamedEntities,ProcessImages,StoreBinary
calendar,Exchange Web Services Appointment,,server/exchange-ews-appointment,true,true,true,false,true,true,true
calendar,Lotus Domino XML Appointment,xml,application/vnd.lotus-domino-xml-appointment-document,true,true,true,false,true,true,true
calendar,Microsoft Entourage Appointment,old14event,application/vnd.ms-entourage-appointment,true,true,true,false,true,true,true
calendar,Microsoft Outlook Appointment,msg,application/vnd.ms-outlook-appointment,true,true,true,false,true,true,true
calendar,Microsoft Outlook Mac Appointment,,application/vnd.ms-outlook-mac-appointment,true,true,true,false,true,true,true
calendar,Microsoft Outlook Schedule,msg,application/vnd.ms-outlook-schedule,true,true,true,false,true,true,true
calendar,iCalendar Entry,ics,text/calendar-entry,true,true,true,false,true,true,true
contact,Address Book Contact,,application/x-contact,true,true,true,false,true,true,true
contact,Exchange Web Services Contact,,server/exchange-ews-contact,true,true,true,false,true,true,true
contact,Lotus Domino XML Person Document,xml,application/vnd.lotus-domino-xml-person-document,true,true,true,false,true,true,true
contact,Microsoft Entourage Contact,olk14contact,application/vnd.ms-entourage-contact,true,true,true,false,true,true,true
contact,Microsoft Outlook Contact,msg,application/vnd.ms-outlook-contact,true,true,true,false,true,true,true
contact,Microsoft Outlook Mac Contact,,application/vnd.ms-outlook-mac-contact,true,true,true,false,true,true,true
contact,Skype Contact,,application/vnd.skype-contact,true,true,true,false,true,true,true
contact,vCard Contact,vcf,text/vcard-contact,true,true,true,false,true,true,true
container,3D Photo Browser Thumbnail Container,obv,application/vnd.3d-photo-browser-thumbnail-cache,true,true,true,false,true,true,true
container,7-Zip Archive File,7z,application/x-7z-compressed,true,true,true,false,true,true,true
container,ABC View Thumbnail Container,abt,application/vnd.abc-view-manager-thumbnail-cache,true,true,true,false,true,true,true
container,ACDSee Thumbnail Container,fpt,application/vnd.acdsee-thumbnail-cache,true,true,true,false,true,true,true
container,ACE Archive File,ace,application/x-ace,true,true,true,false,true,true,true
container,ALZip Archive File,alz,application/x-alzip-compressed,true,true,true,false,true,true,true
container,ALZip Native Archive File,egg,application/x-egg-compressed,true,true,true,false,true,true,true
container,AOL Personal Filing Cabinet File,pfc,application/vnd.aol-personal-filing-cabinet,true,true,true,false,true,true,true
container,AOS File List,,application/vnd.aos-filelist,true,true,true,false,true,true,true
container,AXS-One Email Archive,pgi,application/vnd.axs-one-pgi-email-archive,true,true,true,false,true,true,true
container,AccessData FTK Image,ad1,application/vnd.accessdata-ftk-imager,true,true,true,false,true,true,true
container,Adobe Lightroom Cache,lrprev,application/vnd.adobe-photoshop-lightroom-cache,true,true,true,false,true,true,true
container,Amazon S3 Account,,server/amazon-s3-account,true,true,true,false,true,true,true
container,Amazon S3 Bucket,,server/amazon-s3-bucket,true,true,true,false,true,true,true
container,Amazon S3 Folder,,server/amazon-s3-folder,true,true,true,false,true,true,true
container,Apple Disk Image,dmg,application/x-apple-diskimage,true,true,true,false,true,true,true
container,Apple File Vault 2 Encrypted Volume,,filesystem/x-filevault2,true,true,true,false,true,true,true
container,Apple Mail.app Email File,emlx,application/vnd.apple-emlx,true,true,true,false,true,true,true
container,Apple UDIF Disk Image,dmg,application/vnd.apple-udif,true,true,true,false,true,true,true
container,Apple UDIF Sparse Bundle Disk Image,sparsebundle,application/vnd.apple-udif-sparsebundle,true,true,true,false,true,true,true
container,Apple iCloud Account,,server/apple-icloud-account,true,true,true,false,true,true,true
container,Apple iCloud Folder,,server/apple-icloud-folder,true,true,true,false,true,true,true
container,Apple iOS Application File,ipa,application/vnd.apple-ios-app,true,true,true,false,true,true,true
container,Apple iOS Device,,application/vnd.apple-ios-device,true,true,true,false,true,true,true
container,AppleSingle File,,application/applefile,true,true,true,false,true,true,true
container,Autonomy Load File,idx,application/vnd.autonomy-load-file,true,true,true,false,true,true,true
container,AxCrypt Encrypted File,axx,application/x-axcrypt,true,true,true,false,true,true,true
container,Becky! Email Container File,bmf,application/vnd.rimarts-becky-file,true,true,true,false,true,true,true
container,Becky! Standard Email Container File,bks,application/vnd.rimarts-becky-mailbox,true,true,true,false,true,true,true
container,Blackberry IPD Database,ipd,application/vnd.rim-blackberry-ipd,true,true,true,false,true,true,true
container,Bloomberg Daily Text Dump,txt,application/vnd.bloomberg-text-dump,true,true,true,false,true,true,true
container,Bloomberg Daily XML Dump,xml,application/vnd.bloomberg-xml-dump,true,true,true,false,true,true,true
container,Bloomberg IM Daily XML Dump,xml,application/vnd.bloomberg-im-xml-dump,true,true,true,false,true,true,true
container,Box Account,,server/box-account,true,true,true,false,true,true,true
container,Box File,,server/box-file,true,true,true,false,true,true,true
container,Box Folder,,server/box-folder,true,true,true,false,true,true,true
container,Cellebrite UFDR Image,ufdr,application/vnd.cellebrite-ufdr-image,true,true,true,false,true,true,true
container,Cellebrite XML Report,xml,application/vnd.cellebrite-xml-report,true,true,true,false,true,true,true
container,Centera Clip Container,,application/vnd.emc-centera-eclip-xml,true,true,true,false,true,true,true
container,Centera Cluster,,application/vnd.emc-centera-cluster,true,true,true,false,true,true,true
container,Compressed ISO9660 Disk Image,cso,application/x-cso-image,true,true,true,false,true,true,true
container,Concordance Load File,dat,application/vnd.concordance-load-file,true,true,true,false,true,true,true
container,Concordance Opticon Load File,opt,application/vnd.concordance-opticon-load-file,true,true,true,false,true,true,true
container,Directory,,filesystem/directory,true,true,true,false,true,true,true
container,Disk Image,,application/x-disk-image,true,true,true,false,true,true,true
container,Documentum Docbase,,server/documentum-docbase,true,true,true,false,true,true,true
container,Documentum Folder,,server/documentum-folder,true,true,true,false,true,true,true
container,Documentum Server,,server/documentum-server,true,true,true,false,true,true,true
container,Drive,,filesystem/drive,true,true,true,false,true,true,true
container,Dropbox Account,,server/dropbox-account,true,true,true,false,true,true,true
container,Dropbox Folder,,server/dropbox-folder,true,true,true,false,true,true,true
container,Dropbox Team Account,,server/dropbox-team-account,true,true,true,false,true,true,true
container,EDRM XML Load File,xml,application/vnd.edrm-xml-load-file,true,true,true,false,true,true,true
container,EmailXtender Archive,emx,application/vnd.emc-mailxtender,true,true,true,false,true,true,true
container,EmailXtender EMC MF Container,,application/vnd.emc-mailxtender-emcmf,true,true,true,false,true,true,true
container,EmailXtender Notes Message,onm,application/vnd.emc-mailxtender-notes-msg,true,true,true,false,true,true,true
container,EnCase EVF2 Disk Image,ex01,application/vnd.guidance-encase-evf2,true,true,true,false,true,true,true
container,EnCase EWC Disk Image,e01,application/vnd.guidance-encase,true,true,true,false,true,true,true
container,EnCase LEF2 Logical Volume File,lx01,application/vnd.guidance-encase-lef2,true,true,true,false,true,true,true
container,EnCase Logical Volume File,l01,application/vnd.guidance-encase-lvf,true,true,true,false,true,true,true
container,Enterprise Box Account,,server/enterprise-box-account,true,true,true,false,true,true,true
container,Enterprise Vault Archive,,server/enterprise-vault-archive,true,true,true,false,true,true,true
container,Enterprise Vault Note Stream,,application/x-evnotestream,true,true,true,false,true,true,true
container,Enterprise Vault Server,,server/enterprise-vault,true,true,true,false,true,true,true
